ID;D;M;A;S;X;Y
644822854;16;1;2018;36090;122;526
627350499;16;1;2018;36091;148;473
627350499;16;1;2018;36091;505;228
627350499;16;1;2018;36091;534;174
627350499;16;1;2018;36091;537;170
627350499;16;1;2018;36091;663;117
627350499;16;1;2018;36092;758;43
627350499;16;1;2018;36092;740;20
627350499;16;1;2018;36092;725;5
633876161;16;1;2018;36092;725;19
525896628;16;1;2018;36093;723;26
525896628;16;1;2018;36093;677;296
525896628;16;1;2018;36093;659;363
103884412;16;1;2018;36094;628;347
103884412;16;1;2018;36094;322;97
103884412;16;1;2018;36094;313;78
553196618;16;1;2018;36094;402;59
553196618;16;1;2018;36094;1705;28
926093742;16;1;2018;36094;1715;26
926093742;16;1;2018;36095;1755;11
926093742;16;1;2018;36095;1860;4
72241676;16;1;2018;36095;1856;0
664399840;16;1;2018;36095;1814;1
145276500;16;1;2018;36096;1814;1
145276500;16;1;2018;36096;1565;152
145276500;16;1;2018;36096;1168;386
932619404;16;1;2018;36096;1098;420
932619404;16;1;2018;36096;1099;419
183444899;16;1;2018;36096;1098;420
183444899;16;1;2018;36096;786;744
183444899;16;1;2018;36097;621;826
183444899;16;1;2018;36097;480;824
183444899;16;1;2018;36097;361;903
183444899;16;1;2018;36097;299;968
183444899;16;1;2018;36097;276;995
183444899;16;1;2018;36097;257;1019
183444899;16;1;2018;36097;233;1043
183444899;16;1;2018;36097;210;1058
183444899;16;1;2018;36097;207;1060
458268408;16;1;2018;36098;207;1061
458268408;16;1;2018;36099;203;1054
458268408;16;1;2018;36099;210;1022
458268408;16;1;2018;36099;368;893
458268408;16;1;2018;36099;374;888
155025852;16;1;2018;36099;1462;968
551999277;16;1;2018;36100;1464;1016
551999277;16;1;2018;36100;1585;1084
551999277;16;1;2018;36100;1626;1075
551999277;16;1;2018;36100;1645;1056
551999277;16;1;2018;36100;1675;1047
551999277;16;1;2018;36100;1609;949
551999277;16;1;2018;36100;1549;883
71044335;16;1;2018;36101;1548;881
71044335;16;1;2018;36101;1457;862
71044335;16;1;2018;36101;984;633
71044335;16;1;2018;36101;798;462
71044335;16;1;2018;36102;688;390
71044335;16;1;2018;36102;666;372
71044335;16;1;2018;36102;658;368
290227091;16;1;2018;36102;672;371
290227091;16;1;2018;36103;1749;375
