ID;D;M;A;S;X;Y
898944187;29;11;2017;53602;633;27
418067530;29;11;2017;53602;630;24
418067530;29;11;2017;53602;589;3
418067530;29;11;2017;53602;714;89
418067530;29;11;2017;53602;760;91
418067530;29;11;2017;53603;792;124
379899131;29;11;2017;53603;800;107
735402184;29;11;2017;53603;799;106
735402184;29;11;2017;53603;588;54
735402184;29;11;2017;53603;552;88
735402184;29;11;2017;53603;547;62
735402184;29;11;2017;53604;548;144
498747073;29;11;2017;53604;441;206
498747073;29;11;2017;53604;81;355
498747073;29;11;2017;53604;172;413
498747073;29;11;2017;53604;173;408
498747073;29;11;2017;53604;182;383
498747073;29;11;2017;53604;266;387
498747073;29;11;2017;53605;141;406
498747073;29;11;2017;53605;82;400
498747073;29;11;2017;53605;111;398
498747073;29;11;2017;53605;131;401
498747073;29;11;2017;53605;290;437
498747073;29;11;2017;53605;379;482
498747073;29;11;2017;53605;364;481
300338645;29;11;2017;53605;361;479
300338645;29;11;2017;53605;361;480
690708124;29;11;2017;53606;371;481
690708124;29;11;2017;53606;376;474
690708124;29;11;2017;53606;352;454
370149780;29;11;2017;53606;353;452
530468093;29;11;2017;53607;345;454
530468093;29;11;2017;53607;973;285
530468093;29;11;2017;53607;1207;175
530468093;29;11;2017;53607;1184;143
530468093;29;11;2017;53607;1266;94
530468093;29;11;2017;53607;1258;73
530468093;29;11;2017;53607;1259;53
530468093;29;11;2017;53608;1256;27
530468093;29;11;2017;53608;1254;24
530468093;29;11;2017;53608;1253;22
530468093;29;11;2017;53608;1252;16
611147637;29;11;2017;53608;1250;13
969952663;29;11;2017;53608;1250;13
217476185;29;11;2017;53609;1052;180
217476185;29;11;2017;53609;807;563
217476185;29;11;2017;53609;541;773
217476185;29;11;2017;53609;513;771
287287320;29;11;2017;53609;510;767
287287320;29;11;2017;53609;404;764
287287320;29;11;2017;53609;366;757
555585167;29;11;2017;53609;365;756
555585167;29;11;2017;53609;339;768
555585167;29;11;2017;53610;343;761
555585167;29;11;2017;53610;363;757
555585167;29;11;2017;53610;360;754
409437235;29;11;2017;53610;358;753
15765783;29;11;2017;53610;357;753
15765783;29;11;2017;53610;353;748
15765783;29;11;2017;53611;505;512
15765783;29;11;2017;53611;463;622
15765783;29;11;2017;53611;471;637
15765783;29;11;2017;53611;497;671
691905464;29;11;2017;53611;499;670
245895232;29;11;2017;53611;499;670
245895232;29;11;2017;53611;497;658
245895232;29;11;2017;53611;464;528
245895232;29;11;2017;53611;411;394
245895232;29;11;2017;53612;427;419
245895232;29;11;2017;53612;431;588
245895232;29;11;2017;53612;384;627
245895232;29;11;2017;53612;374;553
245895232;29;11;2017;53612;379;414
245895232;29;11;2017;53612;376;407
245895232;29;11;2017;53612;357;278
113917682;29;11;2017;53612;352;320
113917682;29;11;2017;53613;353;337
113917682;29;11;2017;53613;352;324
113917682;29;11;2017;53613;351;321
490195063;29;11;2017;53613;350;316
790057363;29;11;2017;53613;350;315
6016432;29;11;2017;53613;350;315
6016432;29;11;2017;53614;371;330
6016432;29;11;2017;53614;1070;387
6016432;29;11;2017;53614;1263;393
6016432;29;11;2017;53614;1258;391
6016432;29;11;2017;53614;1248;393
877340852;29;11;2017;53615;1217;416
874038879;29;11;2017;53615;1203;421
731192920;29;11;2017;53615;1200;419
731192920;29;11;2017;53615;1190;416
107470303;29;11;2017;53615;1031;420
107470303;29;11;2017;53616;971;439
908983589;29;11;2017;53616;918;452
908983589;29;11;2017;53616;899;442
908983589;29;11;2017;53616;864;331
908983589;29;11;2017;53616;885;283
908983589;29;11;2017;53616;894;300
908983589;29;11;2017;53616;932;317
908983589;29;11;2017;53616;939;307
908983589;29;11;2017;53616;956;302
908983589;29;11;2017;53617;1059;274
908983589;29;11;2017;53617;1060;246
908983589;29;11;2017;53617;1059;236
602595626;29;11;2017;53617;1058;236
602595626;29;11;2017;53617;1058;247
